timestamp,location_zone,total_slots,occupied_slots,free_slots,occupancy_rate,temperature_c,weather,predicted_free_slots_next_30min
2026-01-01 8:10:00,Zone_B,50,42,8,0.84,18,Fog,5
2026-01-01 8:15:00,Zone_C,50,14,36,0.28,27,Clear,37
2026-01-01 8:20:00,Zone_C,50,49,1,0.98,28,Cloudy,4
2026-01-01 8:25:00,Zone_A,50,30,20,0.6,32,Fog,21
2026-01-01 8:30:00,Zone_D,50,45,5,0.9,21,Fog,6
2026-01-01 8:35:00,Zone_A,50,18,32,0.36,24,Clear,34
2026-01-01 8:40:00,Zone_B,50,43,7,0.86,21,Rain,2
2026-01-01 8:45:00,Zone_A,50,39,11,0.78,18,Cloudy,7
2026-01-01 8:50:00,Zone_C,50,18,32,0.36,18,Clear,36
2026-01-01 8:55:00,Zone_D,50,27,23,0.54,22,Rain,27
2026-01-01 9:00:00,Zone_C,50,12,38,0.24,33,Clear,40
2026-01-01 9:05:00,Zone_D,50,24,26,0.48,33,Fog,22
2026-01-01 9:10:00,Zone_B,50,21,29,0.42,21,Rain,31
2026-01-01 9:15:00,Zone_B,50,18,32,0.36,34,Clear,35
2026-01-01 9:20:00,Zone_C,50,38,12,0.76,22,Clear,11
2026-01-01 9:25:00,Zone_A,50,15,35,0.3,26,Rain,35
2026-01-01 9:30:00,Zone_B,50,45,5,0.9,35,Rain,3
2026-01-01 9:35:00,Zone_B,50,19,31,0.38,25,Fog,29
2026-01-01 9:40:00,Zone_D,50,6,44,0.12,29,Clear,43
2026-01-01 9:45:00,Zone_D,50,49,1,0.98,26,Cloudy,5
2026-01-01 9:50:00,Zone_C,50,28,22,0.56,32,Rain,18
2026-01-01 9:55:00,Zone_B,50,35,15,0.7,21,Cloudy,13
2026-01-01 10:00:00,Zone_C,50,44,6,0.88,24,Fog,10
2026-01-01 10:05:00,Zone_A,50,46,4,0.92,33,Rain,0
2026-01-01 10:10:00,Zone_A,50,35,15,0.7,30,Cloudy,12
2026-01-01 10:15:00,Zone_D,50,30,20,0.6,28,Clear,22
2026-01-01 10:20:00,Zone_D,50,15,35,0.3,20,Cloudy,32
2026-01-01 10:25:00,Zone_A,50,46,4,0.92,22,Fog,1
2026-01-01 10:30:00,Zone_D,50,40,10,0.8,29,Cloudy,13
2026-01-01 10:35:00,Zone_B,50,46,4,0.92,18,Clear,0
2026-01-01 10:40:00,Zone_B,50,18,32,0.36,31,Cloudy,27
2026-01-01 10:45:00,Zone_C,50,37,13,0.74,24,Rain,11
2026-01-01 10:50:00,Zone_C,50,13,37,0.26,26,Fog,32
2026-01-01 10:55:00,Zone_C,50,37,13,0.74,32,Fog,10
2026-01-01 11:00:00,Zone_B,50,33,17,0.66,34,Clear,14
2026-01-01 11:05:00,Zone_A,50,14,36,0.28,22,Cloudy,38
2026-01-01 11:10:00,Zone_A,50,25,25,0.5,35,Clear,30
2026-01-01 11:15:00,Zone_D,50,20,30,0.4,21,Clear,28
2026-01-01 11:20:00,Zone_C,50,37,13,0.74,19,Clear,15
2026-01-01 11:25:00,Zone_A,50,25,25,0.5,20,Fog,29
2026-01-01 11:30:00,Zone_B,50,37,13,0.74,26,Fog,16
2026-01-01 11:35:00,Zone_D,50,49,1,0.98,34,Cloudy,4
2026-01-01 11:40:00,Zone_C,50,33,17,0.66,35,Cloudy,14
2026-01-01 11:45:00,Zone_D,50,33,17,0.66,21,Fog,17
2026-01-01 11:50:00,Zone_A,50,9,41,0.18,25,Fog,39
2026-01-01 11:55:00,Zone_C,50,50,0,1,21,Cloudy,5
2026-01-01 12:00:00,Zone_C,50,13,37,0.26,22,Rain,39
2026-01-01 12:05:00,Zone_B,50,36,14,0.72,21,Fog,11
2026-01-01 12:10:00,Zone_B,50,37,13,0.74,23,Fog,14
2026-01-01 12:15:00,Zone_C,50,27,23,0.54,31,Cloudy,23
2026-01-01 12:20:00,Zone_A,50,26,24,0.52,29,Clear,27
2026-01-01 12:25:00,Zone_D,50,29,21,0.58,32,Clear,21
2026-01-01 12:30:00,Zone_C,50,12,38,0.24,34,Clear,36
2026-01-01 12:35:00,Zone_A,50,22,28,0.44,20,Rain,23
2026-01-01 12:40:00,Zone_B,50,32,18,0.64,26,Cloudy,23
2026-01-01 12:45:00,Zone_C,50,39,11,0.78,30,Cloudy,14
2026-01-01 12:50:00,Zone_D,50,22,28,0.44,28,Clear,23
2026-01-01 12:55:00,Zone_B,50,22,28,0.44,31,Clear,23
2026-01-01 13:00:00,Zone_A,50,43,7,0.86,26,Clear,5
2026-01-01 13:05:00,Zone_A,50,34,16,0.68,26,Clear,11
2026-01-01 13:10:00,Zone_C,50,22,28,0.44,35,Fog,32
2026-01-01 13:15:00,Zone_B,50,12,38,0.24,19,Cloudy,35
2026-01-01 13:20:00,Zone_C,50,17,33,0.34,19,Cloudy,32
2026-01-01 13:25:00,Zone_C,50,23,27,0.46,34,Cloudy,29
2026-01-01 13:30:00,Zone_B,50,6,44,0.12,26,Rain,43
2026-01-01 13:35:00,Zone_A,50,37,13,0.74,18,Clear,16
2026-01-01 13:40:00,Zone_B,50,20,30,0.4,34,Fog,32
2026-01-01 13:45:00,Zone_A,50,39,11,0.78,31,Fog,12
2026-01-01 13:50:00,Zone_C,50,26,24,0.52,24,Cloudy,22
2026-01-01 13:55:00,Zone_B,50,8,42,0.16,30,Rain,39
2026-01-01 14:00:00,Zone_A,50,32,18,0.64,20,Rain,15
2026-01-01 14:05:00,Zone_A,50,37,13,0.74,20,Fog,18
2026-01-01 14:10:00,Zone_C,50,7,43,0.14,25,Rain,45
2026-01-01 14:15:00,Zone_B,50,33,17,0.66,23,Rain,12
2026-01-01 14:20:00,Zone_C,50,40,10,0.8,29,Rain,10
2026-01-01 14:25:00,Zone_B,50,18,32,0.36,19,Rain,32
2026-01-01 14:30:00,Zone_B,50,29,21,0.58,18,Rain,17
2026-01-01 14:35:00,Zone_D,50,20,30,0.4,26,Cloudy,33
2026-01-01 14:40:00,Zone_A,50,10,40,0.2,20,Rain,37
2026-01-01 14:45:00,Zone_D,50,6,44,0.12,19,Fog,43
2026-01-01 14:50:00,Zone_C,50,42,8,0.84,25,Clear,11
2026-01-01 14:55:00,Zone_B,50,36,14,0.72,30,Rain,11
2026-01-01 15:00:00,Zone_C,50,50,0,1,22,Clear,3
2026-01-01 15:05:00,Zone_D,50,38,12,0.76,34,Cloudy,15
2026-01-01 15:10:00,Zone_A,50,6,44,0.12,25,Clear,39
2026-01-01 15:15:00,Zone_B,50,29,21,0.58,29,Clear,23
2026-01-01 15:20:00,Zone_A,50,36,14,0.72,18,Cloudy,13
2026-01-01 15:25:00,Zone_A,50,37,13,0.74,32,Clear,16
2026-01-01 15:30:00,Zone_A,50,35,15,0.7,34,Clear,14
2026-01-01 15:35:00,Zone_A,50,18,32,0.36,26,Cloudy,30
2026-01-01 15:40:00,Zone_D,50,9,41,0.18,33,Fog,43
2026-01-01 15:45:00,Zone_C,50,9,41,0.18,19,Cloudy,45
2026-01-01 15:50:00,Zone_B,50,46,4,0.92,28,Rain,3
2026-01-01 15:55:00,Zone_B,50,8,42,0.16,18,Fog,44
2026-01-01 16:00:00,Zone_C,50,48,2,0.96,21,Cloudy,4
2026-01-01 16:05:00,Zone_C,50,34,16,0.68,34,Rain,18
2026-01-01 16:10:00,Zone_D,50,24,26,0.48,21,Cloudy,22
2026-01-01 16:15:00,Zone_D,50,34,16,0.68,18,Rain,12
2026-01-01 16:20:00,Zone_D,50,18,32,0.36,26,Fog,30
2026-01-01 16:25:00,Zone_A,50,38,12,0.76,20,Cloudy,11
2026-01-01 16:30:00,Zone_C,50,12,38,0.24,22,Rain,38
2026-01-01 16:35:00,Zone_B,50,30,20,0.6,33,Fog,15
2026-01-01 16:40:00,Zone_B,50,48,2,0.96,18,Fog,4
2026-01-01 16:45:00,Zone_D,50,31,19,0.62,27,Cloudy,19
2026-01-01 16:50:00,Zone_D,50,26,24,0.52,28,Clear,19
2026-01-01 16:55:00,Zone_C,50,12,38,0.24,28,Fog,36
2026-01-01 17:00:00,Zone_A,50,28,22,0.56,27,Rain,18
2026-01-01 17:05:00,Zone_D,50,28,22,0.56,30,Clear,23
2026-01-01 17:10:00,Zone_C,50,11,39,0.22,19,Rain,34
2026-01-01 17:15:00,Zone_C,50,22,28,0.44,22,Cloudy,29
2026-01-01 17:20:00,Zone_C,50,32,18,0.64,24,Rain,13
2026-01-01 17:25:00,Zone_D,50,10,40,0.2,35,Cloudy,35
2026-01-01 17:30:00,Zone_D,50,46,4,0.92,32,Cloudy,3
2026-01-01 17:35:00,Zone_D,50,15,35,0.3,19,Cloudy,37
2026-01-01 17:40:00,Zone_D,50,24,26,0.48,28,Rain,25
2026-01-01 17:45:00,Zone_C,50,24,26,0.48,30,Cloudy,28
2026-01-01 17:50:00,Zone_D,50,46,4,0.92,21,Cloudy,1
2026-01-01 17:55:00,Zone_A,50,40,10,0.8,24,Fog,8
2026-01-01 18:00:00,Zone_D,50,32,18,0.64,28,Fog,15
2026-01-01 18:05:00,Zone_B,50,16,34,0.32,25,Clear,34
2026-01-01 18:10:00,Zone_A,50,28,22,0.56,28,Cloudy,21
2026-01-01 18:15:00,Zone_B,50,29,21,0.58,18,Fog,22
2026-01-01 18:20:00,Zone_B,50,26,24,0.52,30,Rain,19
2026-01-01 18:25:00,Zone_D,50,13,37,0.26,26,Rain,42
2026-01-01 18:30:00,Zone_B,50,20,30,0.4,20,Rain,31
2026-01-01 18:35:00,Zone_D,50,24,26,0.48,32,Fog,21
2026-01-01 18:40:00,Zone_B,50,50,0,1,19,Fog,2
2026-01-01 18:45:00,Zone_D,50,30,20,0.6,18,Clear,23
2026-01-01 18:50:00,Zone_D,50,11,39,0.22,32,Cloudy,37
2026-01-01 18:55:00,Zone_B,50,49,1,0.98,22,Clear,6
2026-01-01 19:00:00,Zone_D,50,5,45,0.1,20,Clear,42
2026-01-01 19:05:00,Zone_B,50,13,37,0.26,19,Rain,42
2026-01-01 19:10:00,Zone_C,50,49,1,0.98,34,Fog,0
2026-01-01 19:15:00,Zone_A,50,38,12,0.76,20,Rain,16
2026-01-01 19:20:00,Zone_B,50,19,31,0.38,30,Rain,35
2026-01-01 19:25:00,Zone_A,50,34,16,0.68,18,Rain,15
2026-01-01 19:30:00,Zone_C,50,38,12,0.76,25,Fog,10
2026-01-01 19:35:00,Zone_B,50,50,0,1,18,Fog,5
2026-01-01 19:40:00,Zone_C,50,17,33,0.34,19,Clear,35
2026-01-01 19:45:00,Zone_D,50,19,31,0.38,20,Rain,36
2026-01-01 19:50:00,Zone_D,50,36,14,0.72,29,Cloudy,9
2026-01-01 19:55:00,Zone_C,50,48,2,0.96,31,Rain,3
2026-01-01 20:00:00,Zone_B,50,37,13,0.74,18,Rain,9
2026-01-01 20:05:00,Zone_B,50,24,26,0.48,33,Cloudy,24
2026-01-01 20:10:00,Zone_B,50,21,29,0.42,32,Cloudy,28
2026-01-01 20:15:00,Zone_A,50,19,31,0.38,33,Cloudy,33
2026-01-01 20:20:00,Zone_D,50,30,20,0.6,19,Cloudy,15
2026-01-01 20:25:00,Zone_B,50,31,19,0.62,18,Cloudy,14
2026-01-01 20:30:00,Zone_A,50,33,17,0.66,23,Fog,17
2026-01-01 20:35:00,Zone_A,50,26,24,0.52,20,Cloudy,22
2026-01-01 20:40:00,Zone_B,50,7,43,0.14,34,Fog,42
2026-01-01 20:45:00,Zone_D,50,33,17,0.66,29,Rain,14
2026-01-01 20:50:00,Zone_A,50,22,28,0.44,18,Clear,24
2026-01-01 20:55:00,Zone_C,50,40,10,0.8,31,Clear,8
2026-01-01 21:00:00,Zone_D,50,32,18,0.64,29,Rain,14
2026-01-01 21:05:00,Zone_A,50,28,22,0.56,33,Cloudy,25
2026-01-01 21:10:00,Zone_D,50,28,22,0.56,24,Rain,24
2026-01-01 21:15:00,Zone_A,50,45,5,0.9,31,Cloudy,6
2026-01-01 21:20:00,Zone_A,50,34,16,0.68,30,Clear,12
2026-01-01 21:25:00,Zone_A,50,9,41,0.18,26,Cloudy,45
2026-01-01 21:30:00,Zone_C,50,26,24,0.52,29,Rain,28
2026-01-01 21:35:00,Zone_A,50,22,28,0.44,26,Rain,27
2026-01-01 21:40:00,Zone_A,50,19,31,0.38,20,Clear,27
2026-01-01 21:45:00,Zone_D,50,21,29,0.42,32,Fog,30
2026-01-01 21:50:00,Zone_D,50,16,34,0.32,22,Fog,29
2026-01-01 21:55:00,Zone_C,50,25,25,0.5,22,Cloudy,25
2026-01-01 22:00:00,Zone_D,50,37,13,0.74,29,Clear,11
2026-01-01 22:05:00,Zone_D,50,31,19,0.62,23,Cloudy,15
2026-01-01 22:10:00,Zone_A,50,15,35,0.3,33,Rain,36
2026-01-01 22:15:00,Zone_A,50,44,6,0.88,20,Rain,2
2026-01-01 22:20:00,Zone_B,50,36,14,0.72,21,Fog,16
2026-01-01 22:25:00,Zone_B,50,31,19,0.62,25,Cloudy,21
2026-01-01 22:30:00,Zone_B,50,23,27,0.46,35,Clear,26
2026-01-01 22:35:00,Zone_C,50,21,29,0.42,26,Rain,28
2026-01-01 22:40:00,Zone_B,50,16,34,0.32,32,Cloudy,32
2026-01-01 22:45:00,Zone_B,50,42,8,0.84,22,Rain,6
2026-01-01 22:50:00,Zone_C,50,21,29,0.42,20,Fog,27
2026-01-01 22:55:00,Zone_B,50,7,43,0.14,21,Fog,39
2026-01-01 23:00:00,Zone_A,50,33,17,0.66,33,Cloudy,17
2026-01-01 23:05:00,Zone_A,50,12,38,0.24,27,Cloudy,33
2026-01-01 23:10:00,Zone_B,50,28,22,0.56,24,Clear,25
2026-01-01 23:15:00,Zone_B,50,47,3,0.94,32,Rain,0
2026-01-01 23:20:00,Zone_A,50,7,43,0.14,29,Cloudy,43
2026-01-01 23:25:00,Zone_C,50,18,32,0.36,22,Clear,31
2026-01-01 23:30:00,Zone_A,50,25,25,0.5,24,Clear,26
2026-01-01 23:35:00,Zone_C,50,9,41,0.18,23,Rain,39
2026-01-01 23:40:00,Zone_A,50,9,41,0.18,33,Fog,42
2026-01-01 23:45:00,Zone_A,50,45,5,0.9,30,Cloudy,8
2026-01-01 23:50:00,Zone_A,50,49,1,0.98,23,Fog,0
2026-01-01 23:55:00,Zone_D,50,31,19,0.62,27,Rain,14
2026-01-02 0:00:00,Zone_C,50,31,19,0.62,29,Fog,14
2026-01-02 0:05:00,Zone_C,50,30,20,0.6,24,Fog,18
2026-01-02 0:10:00,Zone_A,50,32,18,0.64,31,Cloudy,14
2026-01-02 0:15:00,Zone_A,50,34,16,0.68,30,Rain,13
2026-01-02 0:20:00,Zone_B,50,40,10,0.8,18,Clear,7
2026-01-02 0:25:00,Zone_D,50,37,13,0.74,20,Rain,10
2026-01-02 0:30:00,Zone_B,50,15,35,0.3,29,Rain,38
2026-01-02 0:35:00,Zone_B,50,29,21,0.58,20,Clear,23
2026-01-02 0:40:00,Zone_B,50,7,43,0.14,27,Cloudy,45
2026-01-02 0:45:00,Zone_C,50,10,40,0.2,19,Fog,44
2026-01-02 0:50:00,Zone_B,50,44,6,0.88,25,Fog,4
2026-01-02 0:55:00,Zone_D,50,7,43,0.14,23,Cloudy,44
2026-01-02 1:00:00,Zone_B,50,12,38,0.24,30,Rain,35
2026-01-02 1:05:00,Zone_B,50,40,10,0.8,24,Clear,15
2026-01-02 1:10:00,Zone_A,50,29,21,0.58,28,Clear,25
2026-01-02 1:15:00,Zone_D,50,46,4,0.92,35,Rain,5
2026-01-02 1:20:00,Zone_C,50,29,21,0.58,25,Fog,26
2026-01-02 1:25:00,Zone_C,50,16,34,0.32,32,Fog,29
2026-01-02 1:30:00,Zone_A,50,20,30,0.4,33,Fog,32
2026-01-02 1:35:00,Zone_D,50,30,20,0.6,23,Fog,16
2026-01-02 1:40:00,Zone_A,50,32,18,0.64,22,Rain,18
2026-01-02 1:45:00,Zone_A,50,7,43,0.14,32,Clear,48
2026-01-02 1:50:00,Zone_B,50,37,13,0.74,20,Rain,9
2026-01-02 1:55:00,Zone_A,50,46,4,0.92,34,Fog,1
2026-01-02 2:00:00,Zone_A,50,17,33,0.34,20,Clear,30
2026-01-02 2:05:00,Zone_D,50,48,2,0.96,27,Cloudy,0
2026-01-02 2:10:00,Zone_A,50,15,35,0.3,29,Rain,35
2026-01-02 2:15:00,Zone_C,50,21,29,0.42,32,Cloudy,32
2026-01-02 2:20:00,Zone_D,50,44,6,0.88,24,Rain,9
2026-01-02 2:25:00,Zone_B,50,7,43,0.14,28,Rain,41
2026-01-02 2:30:00,Zone_B,50,45,5,0.9,30,Cloudy,4
2026-01-02 2:35:00,Zone_C,50,21,29,0.42,30,Cloudy,25
2026-01-02 2:40:00,Zone_A,50,40,10,0.8,29,Fog,13
2026-01-02 2:45:00,Zone_A,50,28,22,0.56,26,Fog,21
2026-01-02 2:50:00,Zone_D,50,28,22,0.56,29,Cloudy,22
2026-01-02 2:55:00,Zone_A,50,16,34,0.32,32,Cloudy,38
2026-01-02 3:00:00,Zone_A,50,24,26,0.48,27,Rain,31
2026-01-02 3:05:00,Zone_C,50,19,31,0.38,18,Clear,28
2026-01-02 3:10:00,Zone_C,50,37,13,0.74,31,Fog,13
2026-01-02 3:15:00,Zone_A,50,19,31,0.38,22,Fog,35
2026-01-02 3:20:00,Zone_A,50,5,45,0.1,18,Clear,49
2026-01-02 3:25:00,Zone_C,50,38,12,0.76,27,Clear,12
2026-01-02 3:30:00,Zone_B,50,42,8,0.84,31,Rain,5
2026-01-02 3:35:00,Zone_B,50,15,35,0.3,29,Fog,32
2026-01-02 3:40:00,Zone_A,50,33,17,0.66,25,Cloudy,13
2026-01-02 3:45:00,Zone_A,50,30,20,0.6,22,Rain,19
2026-01-02 3:50:00,Zone_A,50,43,7,0.86,19,Rain,12
2026-01-02 3:55:00,Zone_D,50,20,30,0.4,34,Fog,27
2026-01-02 4:00:00,Zone_A,50,39,11,0.78,19,Clear,6
2026-01-02 4:05:00,Zone_D,50,15,35,0.3,23,Cloudy,30
2026-01-02 4:10:00,Zone_A,50,14,36,0.28,18,Cloudy,37
2026-01-02 4:15:00,Zone_B,50,44,6,0.88,34,Fog,3
2026-01-02 4:20:00,Zone_C,50,45,5,0.9,20,Rain,0
2026-01-02 4:25:00,Zone_D,50,29,21,0.58,35,Clear,22
2026-01-02 4:30:00,Zone_D,50,16,34,0.32,20,Fog,32
2026-01-02 4:35:00,Zone_A,50,46,4,0.92,26,Cloudy,0
2026-01-02 4:40:00,Zone_A,50,50,0,1,28,Rain,0
2026-01-02 4:45:00,Zone_C,50,48,2,0.96,35,Fog,5
2026-01-02 4:50:00,Zone_C,50,10,40,0.2,27,Cloudy,43
2026-01-02 4:55:00,Zone_A,50,20,30,0.4,23,Rain,28
2026-01-02 5:00:00,Zone_B,50,29,21,0.58,28,Cloudy,21
2026-01-02 5:05:00,Zone_B,50,35,15,0.7,30,Fog,18
2026-01-02 5:10:00,Zone_A,50,19,31,0.38,18,Fog,35
2026-01-02 5:15:00,Zone_C,50,44,6,0.88,24,Fog,10
2026-01-02 5:20:00,Zone_A,50,7,43,0.14,23,Cloudy,38
2026-01-02 5:25:00,Zone_A,50,27,23,0.54,21,Cloudy,20
2026-01-02 5:30:00,Zone_A,50,13,37,0.26,18,Clear,42
2026-01-02 5:35:00,Zone_A,50,9,41,0.18,20,Clear,45
2026-01-02 5:40:00,Zone_C,50,50,0,1,24,Clear,1
2026-01-02 5:45:00,Zone_A,50,18,32,0.36,25,Cloudy,28
2026-01-02 5:50:00,Zone_A,50,45,5,0.9,19,Clear,10
2026-01-02 5:55:00,Zone_C,50,13,37,0.26,33,Clear,33
2026-01-02 6:00:00,Zone_B,50,26,24,0.52,27,Rain,25
2026-01-02 6:05:00,Zone_C,50,21,29,0.42,18,Rain,28
2026-01-02 6:10:00,Zone_A,50,43,7,0.86,29,Rain,10
2026-01-02 6:15:00,Zone_D,50,31,19,0.62,27,Clear,14
2026-01-02 6:20:00,Zone_D,50,27,23,0.54,34,Clear,25
2026-01-02 6:25:00,Zone_A,50,50,0,1,35,Cloudy,0
2026-01-02 6:30:00,Zone_C,50,5,45,0.1,23,Fog,48
2026-01-02 6:35:00,Zone_B,50,5,45,0.1,27,Clear,45
2026-01-02 6:40:00,Zone_D,50,49,1,0.98,21,Fog,0
2026-01-02 6:45:00,Zone_D,50,41,9,0.82,29,Rain,6
2026-01-02 6:50:00,Zone_C,50,36,14,0.72,24,Cloudy,11
2026-01-02 6:55:00,Zone_A,50,49,1,0.98,20,Fog,4
